NIT,REGIÓN,DEPARTAMENTO DOMICILIO,CIUDAD DOMICILIO,CIIU,MACROSECTOR,INGRESOS OPERACIONALES,GANANCIA (PÉRDIDA),TOTAL ACTIVOS,TOTAL PASIVOS,TOTAL PATRIMONIO,Año de Corte,id_razon_social,id_supervisor
899999068,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,610,MINERO,$144.82,$33.41,$216.85,$125.81,$91.03,2022,0,0
900112515,Costa Atlántica,BOLIVAR,CARTAGENA-BOLIVAR,1921,MANUFACTURA,$27.86,$2.19,$42.84,$16.48,$26.36,2022,1,1
830095213,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4661,COMERCIO,$23.60,$0.33,$7.48,$4.47,$3.01,2022,2,0
860069804,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,510,MINERO,$16.39,$6.05,$10.45,$9.00,$1.45,2022,3,1
800021308,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,510,MINERO,$15.27,$2.16,$14.27,$6.34,$7.93,2022,4,1
890900608,Antioquia,ANTIOQUIA,ENVIGADO-ANTIOQUIA,4711,COMERCIO,$15.13,$0.10,$14.85,$7.62,$7.23,2022,5,0
890904996,Antioquia,ANTIOQUIA,MEDELLIN-ANTIOQUIA,3513,SERVICIOS,$15.07,$3.04,$59.47,$30.24,$29.23,2022,6,0
900156264,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,8430,SERVICIOS,$14.78,$0.01,$5.91,$5.43,$0.49,2022,7,2
800153993,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,6120,SERVICIOS,$14.63,$1.79,$23.43,$14.67,$8.76,2022,8,1
900276962,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4711,COMERCIO,$13.96,$0.29,$4.90,$4.75,$0.15,2022,9,1
890100577,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,5111,SERVICIOS,$11.44,-$0.80,$17.89,$19.33,-$1.45,2022,10,3
890900943,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4741,COMERCIO,$11.14,$0.34,$6.14,$3.96,$2.18,2022,11,1
860063875,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,3511,SERVICIOS,$10.87,$2.86,$27.06,$11.89,$15.17,2022,12,4
900818921,Bogotá - Cundinamarca,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,4632,COMERCIO,$9.66,$0.88,$5.05,$3.98,$1.07,2022,13,1
